10,20004700
3000,998600
4000,1000500
5000,1001900
6000,1000300
7000,2000700
8000,2000700
9000,1000500
10000,999700
11000,3001500
12000,999400
13000,1001100
14000,1001200
15000,2000600
16000,6002000
17000,1000700
18000,1000500
19000,1000100
10,11001600
200,1001100
300,999500
500,999900
1000,998900
2000,999500
3000,1000400
4000,1001200
5000,1000800
6000,1000200
7000,999500
8000,999600
9000,999100
10000,9001700
11000,2001200
13000,1001900
14000,1000400
16000,1000200
17000,999300
18000,1001400
19000,1000700
20000,1000700
10,20004500
200,1001500
3000,999400
4000,999200
5000,999700
6000,998700
7000,1000100
8000,1001000
9000,1000000
10000,2000300
11000,2001700
12000,1000400
13000,1000200
14000,999200
15000,2000400
16000,4000500
17000,1001200
20000,1002400
10,999900
1000,997600
4000,999900
5000,1000600
6000,1001200
7000,998500
8000,2000200
9000,1002200
10000,1000300
11000,2001000
12000,2001000
13000,1002100
14000,2000300
15000,6001700
17000,1000900
20000,1000500
300,999500
1000,1000300
2000,1000500
4000,1000500
5000,1000400
6000,1002500
7000,1000100
8000,1000400
9000,1000100
10000,1000300
11000,999600
12000,2000600
13000,998900
14000,1000300
15000,5001200
17000,1002100
18000,999800
20000,999800
