300,1000100
500,1000900
1000,1000200
2000,1001100
3000,1000000
4000,1998500
5000,3000500
6000,3001800
7000,4000800
8000,5002400
9000,6001100
10000,7001500
11000,9001900
12000,10000200
13000,12002800
14000,15003800
15000,23005700
16000,20004300
17000,24005500
18000,23004800
19000,28005300
20000,30006300
200,1000500
300,1000900
500,2001800
800,997200
2000,3001100
3000,4000800
4000,2000500
5000,2000500
6000,4000900
7000,5001100
8000,7001100
9000,8001300
10000,10002500
11000,16002800
12000,14002300
13000,20004200
14000,19003700
15000,16003700
16000,19004600
17000,21004300
18000,23006200
19000,26005200
20000,29006100
200,1000500
300,1000400
500,2001300
800,1000200
1000,1000200
2000,5000900
3000,5001200
4000,3000800
5000,3000500
6000,4001700
7000,6000800
8000,7000500
9000,8001800
10000,10001800
11000,10000800
12000,12004200
13000,12004200
14000,14003300
15000,17003500
16000,20003700
17000,21004600
18000,23005700
19000,26005900
20000,29005700
